date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
1/2/2010,129,-16,-4,1020,SE,1.79,0,0
1/2/2010,148,-15,-4,1020,SE,2.68,0,0
1/2/2010,159,-11,-5,1021,SE,3.57,0,0
1/2/2010,181,-7,-5,1022,SE,5.36,1,0
1/2/2010,138,-7,-5,1022,SE,6.25,2,0
1/2/2010,109,-7,-6,1022,SE,7.14,3,0
1/2/2010,105,-7,-6,1023,SE,8.93,4,0
1/2/2010,124,-7,-5,1024,SE,10.72,0,0
1/2/2010,120,-8,-6,1024,SE,12.51,0,0
1/2/2010,132,-7,-5,1025,SE,14.3,0,0
1/2/2010,140,-7,-5,1026,SE,17.43,1,0
1/2/2010,152,-8,-5,1026,SE,20.56,0,0
1/2/2010,148,-8,-5,1026,SE,23.69,0,0
1/2/2010,164,-8,-5,1025,SE,27.71,0,0
1/2/2010,158,-9,-5,1025,SE,31.73,0,0
1/2/2010,154,-9,-5,1025,SE,35.75,0,0
1/2/2010,159,-9,-5,1026,SE,37.54,0,0
1/2/2010,164,-8,-5,1027,SE,39.33,0,0
1/2/2010,170,-8,-5,1027,SE,42.46,0,0
1/2/2010,149,-8,-5,1028,SE,44.25,0,0
1/2/2010,154,-7,-5,1028,SE,46.04,0,0
1/2/2010,164,-7,-5,1027,SE,49.17,1,0
1/2/2010,156,-8,-6,1028,SE,52.3,2,0
1/2/2010,126,-8,-6,1027,SE,55.43,3,0
1/3/2010,90,-7,-6,1027,SE,58.56,4,0
1/3/2010,63,-8,-6,1026,SE,61.69,5,0
1/3/2010,65,-8,-7,1026,SE,65.71,6,0
1/3/2010,55,-8,-7,1025,SE,68.84,7,0
1/3/2010,65,-8,-7,1024,SE,72.86,8,0
1/3/2010,83,-9,-8,1024,SE,76.88,9,0
1/3/2010,91,-10,-8,1024,SE,80.9,10,0
1/3/2010,86,-10,-9,1024,SE,84.92,11,0
1/3/2010,82,-10,-9,1024,SE,89.84,12,0
1/3/2010,86,-11,-9,1023,SE,93.86,13,0
1/3/2010,78,-11,-9,1023,SE,97.88,15,0
1/3/2010,98,-11,-9,1022,SE,102.8,16,0
1/3/2010,107,-11,-9,1021,SE,105.93,17,0
1/3/2010,90,-11,-9,1020,SE,111.74,19,0
1/3/2010,96,-11,-9,1020,SE,116.66,20,0
1/3/2010,95,-11,-9,1020,SE,121.58,21,0
1/3/2010,86,-11,-9,1020,SE,124.71,22,0
1/3/2010,70,-11,-9,1020,SE,127.84,23,0
1/3/2010,61,-11,-9,1021,cv,0.89,24,0
1/3/2010,53,-11,-9,1022,cv,1.78,25,0
1/3/2010,71,-10,-9,1022,NW,4.02,26,0
1/3/2010,72,-11,-10,1023,NW,7.15,27,0
1/3/2010,76,-11,-9,1023,NW,11.17,0,0
1/3/2010,73,-12,-11,1023,NW,14.3,0,0
1/4/2010,79,-14,-12,1023,NW,16.09,0,0
1/4/2010,58,-16,-9,1023,NW,21.9,0,0
1/4/2010,25,-17,-10,1024,NW,29.95,0,0
1/4/2010,26,-18,-11,1024,NW,39.78,0,0
1/4/2010,28,-19,-11,1025,NW,48.72,0,0
1/4/2010,26,-20,-12,1026,NW,55.87,0,0
1/4/2010,20,-21,-12,1027,NW,64.81,0,0
1/4/2010,29,-21,-13,1027,NW,73.75,0,0
1/4/2010,26,-22,-13,1028,NW,80.9,0,0
1/4/2010,27,-22,-13,1029,NW,90.73,0,0
1/4/2010,27,-22,-12,1030,NW,100.56,0,0
1/4/2010,25,-23,-12,1031,NW,108.61,0,0
1/4/2010,29,-21,-11,1030,NW,117.55,0,0
1/4/2010,32,-20,-10,1030,NW,127.38,0,0
1/4/2010,28,-21,-10,1030,NW,136.32,0,0
1/4/2010,29,-21,-9,1030,NW,145.26,0,0
1/4/2010,30,-21,-9,1031,NW,152.41,0,0
1/4/2010,30,-20,-11,1032,NW,159.56,0,0
1/4/2010,28,-23,-11,1032,NW,165.37,0,0
1/4/2010,26,-21,-12,1033,NW,171.18,0,0
1/4/2010,31,-24,-12,1034,NW,180.12,0,0
1/4/2010,33,-24,-13,1034,NW,187.27,0,0
1/4/2010,29,-24,-13,1035,NW,195.32,0,0
1/4/2010,31,-26,-15,1035,NW,198.45,0,0
1/5/2010,30,-26,-17,1035,NW,201.58,0,0
1/5/2010,34,-26,-18,1035,NW,205.6,0,0
1/5/2010,27,-26,-19,1035,NW,208.73,0,0
1/5/2010,25,-27,-18,1035,NW,213.65,0,0
1/5/2010,28,-27,-19,1035,NW,218.57,0,0
1/5/2010,28,-27,-16,1034,NE,4.92,0,0
1/5/2010,27,-26,-16,1035,NE,8.05,0,0
1/5/2010,27,-27,-16,1034,NE,13.86,0,0
1/5/2010,27,-26,-16,1035,NE,18.78,0,0
1/5/2010,29,-26,-15,1035,NE,24.59,0,0
1/5/2010,36,-25,-14,1035,NE,29.51,0,0
1/5/2010,30,-25,-13,1035,NE,34.43,0,0
1/5/2010,27,-25,-12,1034,NE,39.35,0,0
1/5/2010,39,-24,-11,1032,NE,41.14,0,0
1/5/2010,41,-22,-11,1032,cv,0.89,0,0
1/5/2010,33,-23,-11,1031,NW,1.79,0,0
1/5/2010,50,-24,-11,1031,NW,3.58,0,0
1/5/2010,56,-23,-11,1031,NW,5.37,0,0
1/5/2010,59,-23,-11,1032,NW,7.16,0,0
1/5/2010,60,-22,-13,1033,NW,10.29,0,0
1/5/2010,84,-22,-12,1033,NW,13.42,0,0
1/5/2010,106,-24,-18,1033,NW,16.55,0,0
1/5/2010,66,-22,-13,1034,NW,20.57,0,0
1/5/2010,50,-22,-16,1033,NW,23.7,0,0
1/6/2010,56,-25,-17,1033,NW,26.83,0,0
1/6/2010,77,-25,-14,1033,NE,4.02,0,0
1/6/2010,50,-26,-14,1034,NE,8.04,0,0
1/6/2010,44,-26,-14,1033,NE,13.85,0,0
1/6/2010,27,-26,-14,1033,NE,17.87,0,0
1/6/2010,28,-26,-14,1033,NE,23.68,0,0
1/6/2010,21,-26,-14,1033,NE,28.6,0,0
1/6/2010,25,-26,-15,1034,NE,33.52,0,0
1/6/2010,20,-26,-14,1034,NE,39.33,0,0
1/6/2010,29,-25,-13,1035,NE,44.25,0,0
1/6/2010,34,-25,-12,1035,NE,50.06,0,0
1/6/2010,42,-24,-11,1035,NE,54.98,0,0
1/6/2010,28,-24,-10,1034,NE,59,0,0
1/6/2010,36,-22,-10,1033,NW,4.02,0,0
1/6/2010,48,-22,-9,1033,NW,5.81,0,0
1/6/2010,49,-22,-8,1033,cv,0.89,0,0
1/6/2010,52,-22,-8,1033,NW,1.79,0,0
1/6/2010,56,-21,-9,1033,NW,3.58,0,0
1/6/2010,96,-22,-9,1033,NW,5.37,0,0
1/6/2010,75,-22,-14,1034,cv,0.89,0,0
1/6/2010,105,-22,-12,1035,NW,1.79,0,0
1/6/2010,132,-21,-14,1034,NW,3.58,0,0
1/6/2010,93,-22,-16,1035,NW,5.37,0,0
1/6/2010,131,-21,-16,1035,NW,7.16,0,0
1/7/2010,127,-21,-16,1035,NW,8.95,0,0
1/7/2010,130,-21,-16,1035,cv,0.45,0,0
1/7/2010,43,-22,-18,1036,cv,1.34,0,0
1/7/2010,37,-23,-15,1036,NW,4.02,0,0
1/7/2010,30,-24,-16,1035,NW,7.15,0,0
1/7/2010,28,-25,-15,1035,NW,10.28,0,0
1/7/2010,24,-24,-15,1035,NW,14.3,0,0
1/7/2010,23,-25,-13,1036,NE,4.92,0,0
1/7/2010,24,-24,-14,1036,NW,4.02,0,0
